Title;Content;Excerpt;Date;Category;Tag;Author;Slug;FeaturedImage;Status;Format
Computer Networking Advanced - януари 2020;"<p> Курсът &ldquo;Computer Networking Advanced&rdquo; има за цел не само да затвърди и надгради познанията ви по компютърни мрежи с много по-задълбочен поглед върху протоколите и технологиите, но и да ви въведе в съвременните концепции за мрежова виртуализация и софтуерно дефинирани мрежи (SDN).С първите няколко теми ще задълбочим и разширим познанията си по switching, routing, резервираност на мрежовите услуги, автентикация и много други, а после постепенно ще преминем към най-новите и горещи теми за виртуализация &ndash; както на мрежови устройства, така и на мрежови услуги.Всичко това ще бъде подкрепено и с много примери и практически упражнения, благодарение на които ще направите реалната съпоставка между традиционния и съвременния подход при изграждането и управлението на компютърни мрежи.  </p>
<p> 06 януари 2020 </p>
<p> 10 седмици </p>
<p> 240 лв. </p>
<div class=""wp-block-button""><a class=""wp-block-button__link has-background has-luminous-vivid-orange-background-color"" href=""https://softuni.bg/trainings/2568/computer-networking-advanced-january-2020"">Go</a></div>
";"Курсът &ldquo;Computer Networking Advanced&rdquo; има за цел не само да затвърди и надгради познания...";1.1.0001 г. 0:00:00;SoftUni,Software development;SoftUni,Software development;;;https://twitgoo.com/wp-content/uploads/2019/08/IMG_1463.png;;
Agile Software Development - януари 2020;"<p> Целта на този курс е да запознае аудиторията с основните ценности и принципи на Agile и практическото им приложение в разработката на софтуер. Ще се разгледа Agile във всички етапи от разработката на един софтуерен продукт, от разписването на изискванията, през оценката на работата и планирането, до следенето на състоянието на проекта и ключови параметри на Agile организацията. Ще се обърне внимание и на бизнес страната на разработката на нов продукт, като оценка на добавената стойност и приоритизиране на работата. Не на последно място, ще се разгледат начините да се прилага Agile към проекти с голям мащаб.  </p>
<p> 10 януари 2020 </p>
<p> 10 седмици </p>
<p> 190 лв. </p>
<div class=""wp-block-button""><a class=""wp-block-button__link has-background has-luminous-vivid-orange-background-color"" href=""https://softuni.bg/trainings/2551/agile-software-development-january-2020"">Go</a></div>
";Целта на този курс е да запознае аудиторията с основните ценности и принципи на Agile и практическот...;1.1.0001 г. 0:00:00;SoftUni,Software development;SoftUni,Software development;;;https://twitgoo.com/wp-content/uploads/2019/08/IMG_1463.png;;
MySQL - януари 2020;"<p> Базите данни са стандартният начин за използване на динамична информация в съвременните приложения, правейки ги неизменна част от почти всяко едно приложение. Курсът по основи на базите данни ще ви запознаe с една от най-широко използваните системи за управление на бази данни (DBMS), при разработката на съвременни приложения - MySQL. Този курс полага основите на работата с бази данни, правейки по-лесно използването им в реални приложения.Оценяването в курса е на базата на предадени домашни и практически изпит.  </p>
<p> 13 януари 2020 </p>
<p> 4 седмици </p>
<p> 290 лв. </p>
<div class=""wp-block-button""><a class=""wp-block-button__link has-background has-luminous-vivid-orange-background-color"" href=""https://softuni.bg/trainings/2752/mysql-january-2020"">Go</a></div>
";Базите данни са стандартният начин за използване на динамична информация в съвременните приложения, ...;1.1.0001 г. 0:00:00;SoftUni,Software development;SoftUni,Software development;;;https://twitgoo.com/wp-content/uploads/2019/08/IMG_1463.png;;
Angular - януари 2020;"<p> Курсът ""Angular"" дава знания и практически умения заизграждане на клиентски приложения(Single Page Applications) с технологиятаAngular, работна рамка произведение наGoogleи една от най-популярните в момента. Ще научим какво еTypeScript, основен синтакс и концепции и какво повече той ни предлага пред JavaScript, като удобства за разработка в браузъра и на мобилните платформи. Изучават сеархитектурни шаблони за SPA приложения,компоненти,директивииреализацията им в Angular. Изучават сеизгледиишаблонизавизуализация на данни(templates),модели,компоненти,свързване на данни(data binding),работа с много изгледи,обзървабали(observables),рутиране(routing),извличане на данни от REST услугаиdependency injection(DI).  </p>
<p> 14 януари 2020 </p>
<p> 6 седмици </p>
<p> 290 лв. </p>
<div class=""wp-block-button""><a class=""wp-block-button__link has-background has-luminous-vivid-orange-background-color"" href=""https://softuni.bg/trainings/2760/angular-january-2020"">Go</a></div>
";"Курсът ""Angular"" дава знания и практически умения заизграждане на клиентски приложения(Single Page A...";1.1.0001 г. 0:00:00;SoftUni,Software development;SoftUni,Software development;;;https://twitgoo.com/wp-content/uploads/2019/08/IMG_1463.png;;
Fundamentals of Programming (with C#) - януари 2020;"<p> Курсът ""Fundamentals of Programming"" е ускорено въведение в програмирането, подходящо за начинаещи и участници с опит в писането на код.В предвидените уроци по основи и принципи на програмиране(в рамките на курса) ще бъдат обхванати както основите на програмирането (писане на команди, работа със среда за разработка, работа с данни, променливи, изрази, използване на условни конструкции и цикли), така и теми за по-напреднали (работа с базови структури от данни, масиви, списъци и асоциативни масиви, дефиниране и използване на методи, дефиниране и използване на класове с данни, конструктори и методи в тях, работа с API класове). Ще се използваезика за програмиране C# и средата за разработка Visual Studio.За всяка тема от изучавания материал е предвидено решаване на поредица от практически задачи с нарастваща трудност, с автоматизирана проверка.Курсът завършва с практически изпит, който обхваща изучавания учебен материал: няколко практически задачи за условия и цикли, масиви и списъци, асоциативни масиви и класове, с автоматизирана проверка.Обучението обхваща сериозни теми от програмирането за кратко време, така че ако сте напълно начинаещи, ще трябва да отделите повече усилия, за да го завършите успешно.  </p>
<p> 15 януари 2020 </p>
<p> 12 седмици </p>
<p> 190 лв. </p>
<div class=""wp-block-button""><a class=""wp-block-button__link has-background has-luminous-vivid-orange-background-color"" href=""https://softuni.bg/trainings/2552/fundamentals-of-programming-with-csharp-january-2020"">Go</a></div>
";"Курсът ""Fundamentals of Programming"" е ускорено въведение в програмирането, подходящо за начинаещи и...";1.1.0001 г. 0:00:00;SoftUni,Software development;SoftUni,Software development;;;https://twitgoo.com/wp-content/uploads/2019/08/IMG_1463.png;;
Microsoft Excel Automation - януари 2020;"<p> В курса по Microsoft Excel Automation ще се запознаете с технологията Visual Basic for Application (VBA) и различни похвати за надграждане способностите на Microsoft Excel. В курса ще бъдат показани детайлни примери и разрешения, с които ще можете да извършвате допълнителни функции и действия. С Microsoft Excel Automation ще можете да разгърнете своите способности, използвайки VBA, за да създавате специфични решения и инструменти за вашата организация или бизнес.В началото на курса, самите студенти ще изберете какво приложение да бъде разработено по време на практическите занятия. Обучението е изключително практически насочено и ще ви научи как да продължите да търсите информация и след приключването му, за да развивате своите приложения.  </p>
<p> 23 януари 2020 </p>
<p> 8 седмици </p>
<p> 240 лв. </p>
<div class=""wp-block-button""><a class=""wp-block-button__link has-background has-luminous-vivid-orange-background-color"" href=""https://softuni.bg/trainings/2770/microsoft-excel-automation-january-2020"">Go</a></div>
";В курса по Microsoft Excel Automation ще се запознаете с технологията Visual Basic for Application (...;1.1.0001 г. 0:00:00;SoftUni,Software development;SoftUni,Software development;;;https://twitgoo.com/wp-content/uploads/2019/08/IMG_1463.png;;
Programming Basics with JavaScript - февруари 2020;"<p> Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични специалности в Софтуерния университет. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if, if-else) и цикли (for, while, do-while).Курсът ""Основи на програмирането"" завършва с практически изпит по програмиране, който еприемен в програмата по софтуерно инженерство на Софтуерния университет. Подробна информация за Учебния план може да намеритетук. https://softuni.bg/curriculum </p>
<p> 01 февруари 2020 </p>
<p> 8 седмици </p>
<p> Безплатно </p>
<div class=""wp-block-button""><a class=""wp-block-button__link has-background has-luminous-vivid-orange-background-color"" href=""https://softuni.bg/trainings/2773/programming-basics-with-javascript-february-2020"">Go</a></div>
";"Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични с...";1.1.0001 г. 0:00:00;SoftUni,Software development;SoftUni,Software development;;;https://twitgoo.com/wp-content/uploads/2019/08/IMG_1463.png;;
Programming Basics with C# - февруари 2020;"<p> Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични специалности в Софтуерния университет. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if, if-else) и цикли (for, while, do-while).Курсът ""Основи на програмирането"" завършва с практически изпит по програмиране, който еприемен в програмата по софтуерно инженерство на Софтуерния университет. Подробна информация за Учебния план може да намеритетук. https://softuni.bg/curriculum </p>
<p> 01 февруари 2020 </p>
<p> 8 седмици </p>
<p> Безплатно </p>
<div class=""wp-block-button""><a class=""wp-block-button__link has-background has-luminous-vivid-orange-background-color"" href=""https://softuni.bg/trainings/2768/programming-basics-with-c-sharp-february-2020 "">Go</a></div>
";"Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични с...";1.1.0001 г. 0:00:00;SoftUni,Software development;SoftUni,Software development;;;https://twitgoo.com/wp-content/uploads/2019/08/IMG_1463.png;;
Programming Basics with Python - февруари 2020;"<p> Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични специалности в Софтуерния университет. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if, if-else) и цикли (for, while, do-while).Курсът ""Основи на програмирането"" завършва с практически изпит по програмиране, който еприемен в програмата по софтуерно инженерство на Софтуерния университет. Подробна информация за Учебния план може да намеритетук. https://softuni.bg/curriculum </p>
<p> 01 февруари 2020 </p>
<p> 8 седмици </p>
<p> Безплатно </p>
<div class=""wp-block-button""><a class=""wp-block-button__link has-background has-luminous-vivid-orange-background-color"" href=""https://softuni.bg/trainings/2777/programming-basics-with-python-february-2020"">Go</a></div>
";"Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични с...";1.1.0001 г. 0:00:00;SoftUni,Software development;SoftUni,Software development;;;https://twitgoo.com/wp-content/uploads/2019/08/IMG_1463.png;;
Programming Basics with Java - февруари 2020;"<p> Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични специалности в Софтуерния университет. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if, if-else) и цикли (for, while, do-while).Курсът ""Основи на програмирането"" завършва с практически изпит по програмиране, който еприемен в програмата по софтуерно инженерство на Софтуерния университет. Подробна информация за Учебния план може да намеритетук. https://softuni.bg/curriculum </p>
<p> 01 февруари 2020 </p>
<p> 8 седмици </p>
<p> Безплатно </p>
<div class=""wp-block-button""><a class=""wp-block-button__link has-background has-luminous-vivid-orange-background-color"" href=""https://softuni.bg/trainings/2772/programming-basics-with-java-february-2020"">Go</a></div>
";"Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични с...";1.1.0001 г. 0:00:00;SoftUni,Software development;SoftUni,Software development;;;https://twitgoo.com/wp-content/uploads/2019/08/IMG_1463.png;;
