Title;ImageUrl;Link;Description;Price;StartDate;EndDate;Duration;MinParticipants;MaxParticipants;Category;Tags
DevOps;https://progressbg.net/wp-content/uploads/2018/11/1_CSZxfOMlVsKsrMkqTxFiMQ-300x170.png;https://progressbg.net/kurs-po-devops/;"Какво представлява DevOps:DevOps е методология за разработка на софтуер, насочена към взаимодействие и интеграция на специалистите по разработка на програмни продукти и специалистите по информационни технологии. На практика методологията DevOps се появява като отговор на взаимната зависимост между разработката и експлоатацията на софтуер. Целта на DevOps е да помогне на организациите по-бързо да разработват и внедряват програмни продукти и услуги.DevOps улеснява създаването на програмно осигуряване с помощта на стандартизиране на обкръжението на разработката.BENEFIT:След завършване на курса по DevOps, участниците, ще могат да работят с &#8222;cloud&#8220; технологии, ще разбират от виртуализация , ще могат да извършват прости и по-сложни автоматизации. Курсът се явява стабилна основа от знания и умения, като отваря много врати и възможности за развитие в ИТ сектора, като DevOps специалист.Ползване на личен или служебен лаптоп:Тези, които нямат възможност да ползват собствен лаптоп, трябва да заявят за това по email или телефон, за да им бъде осигурен служебен лаптоп/настолен компютър от центъра.Мащаб на групата:Обучението се провежда в малка ( бутикова ) група, ограничена до 8 участника, с цел много повече индивидуално внимание на лектора към курсистите по време на практическите упражнения.Издаване на Сертификат ( безплатно ):Степента на  справяне с практичните задачи по време на обучението, домашните работи, както и финалния тест са основание за издаване на Сертификат.Разбирането на поставените задачи и справянето на курсистите с тях е от изключително значение за по-добрата им реализация след обучението.Кариерно консултиране ( безплатно ):При желание нашата агенция за подбор на кадри ще ви помогне да опознаете ИТ индустрията (компаниите и профила на търсените от тях кадри, какви възможности предлагат за професионално развитие на своите служители, възнаграждения , работна атмосфера, технологии с които работят и още). Ще ви разкажем и посъветваме върху какво да наблягате по време на интервю за работа.Услугата е напълно безплатна за всички завършили курсисти на центъра.Необходимо е да запишете час за консултация на 0882 255 066 – Александра Йолкова/ IT recruiter at MyITjob ltd.&nbsp;&nbsp;";Цена: 500 лева.;"График на курсове по &#8222;DevOps&#8220; Продължителност на обучението – 40 учебни часа ( 1 месец ).Следващa началнa датa:25-ти януари 2020 г. (съботно-неделна форма на обучение от 17:30 до 20:30 часа, което са 4 учебни часа с 20 минути почивка). Занятията ще се провеждат всяка събота и неделя. Край на курса: 23-ти февруари 2020г.27-ми януари 2020 г. (вечерна форма на обучение от 19:00 до 22:00 часа, което са 4 учебни часа с 20 минути почивка). Занятията ще се провеждат всеки понеделник и сряда. Край на курса: 26-ти февруари 2020г.Цена на курса по DevOps:Цена: 500 лева.&nbsp;";;;;;;"[""Езици за програмиране"",""kurs-po-devops"",""progress""]"
Курсове по Програмиране с Python;https://progressbg.net/wp-content/uploads/2017/06/python-logo.png;https://progressbg.net/programirane-s-python-2/;"Какво е Python?Python e интерпретируем, обектно ориентиран език за програмиране с огромна употреба. Python предлага добра структура и поддръжка за разработка на големи приложения. Като език, който се интерпретира, той спестява значително време при разработването на софтуер. Програмите, написани на Python, са компактни и четими като често те са и по-кратки от еквивалентните им, написани на C/C++. Python намира приложение в научните изследвания, изкуствения интелект, автоматизацията и още.Цел на курса по Програмиране на Python:Курсът е предназначен да ви научи да използвате Python, колкото е възможно най-бързо. Да създавате работни програми от начало до край. Да разберете различните части на програмата и как да ги ползвате заедно. Да овладеете синтаксиса на основните функции и инструкции на езика и данните, с които работи, както и значението на вградените променливи. Да изпълнявате системни команди, да обработвате текстови файлове от всякакъв формат, да използвате основни функции на езика и въз основа на тях да се развиете и да направите функционални програми.За кого е предназначен курсът:Курсът може да бъде изучаван както от абсолютно начинаещи в програмирането, така и от тези, които имат начални познания и желаят да ги доразвият към едно по-високо ниво.Ползване на личен или служебен лаптоп:Тези, които нямат възможност да ползват собствен лаптоп, трябва да заявят за това по email или телефон, за да им бъде осигурен служебен лаптоп/настолен компютър от центъра.Мащаб на групата:Обучението се провежда в малка ( бутикова ) група, ограничена до 8 участника, с цел много повече индивидуално внимание на лектора към курсистите по време на практическите упражнения.Лектори:Ива Попова, Евгени Пандурски, Теодор Колев, Атанас Данаилов. Повече информация за тях– тук.Издаване на Сертификат ( безплатно ):Степента на справяне с практичните задачи по време на обучението, домашните работи, както и финалния тест са основание за издаване на Сертификат. Разбирането на поставените задачи и справянето на курсистите с тях е от изключително значение за по-добрата им реализация след обучението.Кариерно консултиране ( безплатно ):При желание нашата агенция за подбор на кадри ще ви помогне да опознаете ИТ индустрията (компаниите и профила на търсените от тях кадри, какви възможности предлагат за професионално развитие на своите служители, възнаграждения , работна атмосфера, технологии с които работят и още).Ще ви разкажем и посъветваме върху какво да наблягате по време на интервю за работа.Услугата е напълно безплатна за всички завършили курсисти на центъра.Необходимо е да запишете час за консултация на 0882 255 066 – Александра Йолкова/ IT recruiter at MyITjob ltd.&nbsp;";Цена: 600 лв.;"График на Курсове по Програмиране с PythonПродължителност на обучението – 64 учебни часа ( 2 месеца)Следващите начални дати са:21-ви януари 2020 г. (вечерна  форма на обучение от 19:00 до 22:00 часа, което са 4 учебни часа с 20 минути почивка). Занятията ще се провеждат всеки вторник и четвъртък. Край на курса: 17-ти март 2020г. (На 03-ти март няма да има занятие!)08-ми февруари 2019 г. (съботно-неделна  форма на обучение от 10:00 до 13:00 часа, което са 4 учебни часа с 20 минути почивка). Занятията, ще се провеждат всяка събота и неделя. Край на курса: 29-ти март 2020г.&nbsp;Цена: 600 лв. Сумата на курса може да се заплати разсрочено на две вноски: първа вноска от 400 лева и втора вноска от 200 лева. Първата се внася при записването, а втората след първият месец от обучението.&nbsp;";;;;;;"[""Езици за програмиране"",""programirane-s-python-2"",""progress""]"
Курс по Machine Learning;https://progressbg.net/wp-content/uploads/2018/08/data3-1.jpg;https://progressbg.net/machine-learning/;"Преставяне на курса по Machine Learning:Машинното обучение (Machine Learning) е дисциплина, която като под-направление на Изкуствения Интелект набира изключително голяма популярност през последните години и намира все повече приложения в бизнес средите.Темите, представени в настоящият курс са разработени от професионалист с повече от 10 години опит в областта.За кого е подходящ курса:Курсът е подходящ за хора с основни познания по програмиране (желателно на езика Python).Какво ще научите по време на курса:Във въвеждащите теми се представят необходимите инструменти, които ще бъдат използвани: iPython, JupiterNotebook, Pandas, scikit-learn и др.Разглеждат се основните алгоритми за Машинно Обучение с учител (Supervised Machine Learning), илюстрирани с множеството примери, но не оставаме на ниво &#8222;този код прави това&#8220;. Опитваме се да разберем как и защо се случва &#8222;магията&#8220;, като се обясняват математическите средства, които основополагат дадения алгоритъм. В края на всяка тема анализираме предимствата и недостатъците на разглеждания алгоритъм и дискутираме възможните му приложения за решаване на реални задачи.В края на курса, се представят накратко и някои аспекти от обучението без учител (Unsupervised Learning), както и въведение в Изкуствените Неврони Мрежи (Artificial Neuron Networks), като модерни тенденции в развитието на т.нар. Deep Learning. Накратко се представят и основите на Обработка на Естествен Език (Natural Language Processing) &#8211; модерна дисциплина, в която Машинното Обучение намира изключително голямо приложение. Курсистите ще приложат на практика усвоените знания, като обучат собствен модел за разпознаване на емоциите (Sentiment Analyses) в коментарите на дадена Facebook страница.По време на курса, курсистите ще имат възможност да разработят самостоятелно, като курсов проект, модел за машинно обучение върху избрана от тях тематика. Успешната защита на проекта, както и решаването на множеството задачи за самостоятелна подготовка давани след всяка тема, ще бъдат основание за издаване на сертификат.Ползване на личен или служебен лаптоп:Тези, които нямат възможност да ползват собствен лаптоп, трябва да заявят за това по email или телефон, за да им бъде осигурен служебен лаптоп/настолен компютър от центъра.Мащаб на групата:Обучението се провежда в малка ( бутикова ) група, ограничена до 8 участника, с цел много повече индивидуално внимание на лектора към курсистите по време на практическите упражнения.Издаване на Сертификат ( безплатно ):Степента на справяне с практичните задачи по време на обучението, домашните работи, както и финалния тест са основание за издаване на Сертификат. Разбирането на поставените задачи и справянето на курсистите с тях е от изключително значение за по-добрата им реализация след обучението.Кариерно консултиране ( безплатно ):При желание нашата агенция за подбор на кадри ще ви помогне да опознаете ИТ индустрията (компаниите и профила на търсените от тях кадри, какви възможности предлагат за професионално развитие на своите служители, възнаграждения , работна атмосфера, технологии с които работят и още).Ще ви разкажем и посъветваме върху какво да наблягате по време на интервю за работа.Услугата е напълно безплатна за всички завършили курсисти на центъра.Необходимо е да запишете час за консултация на 0882 255 066 – Александра Йолкова/ IT recruiter at MyITjob ltd.&nbsp;";Цена: 680 лв.;График на Курсове по Machine LearningКурса е с обем от 72 учебни часа и е с продължителност два месеца.Следваща начална дата:08-ми февруари 2020г. ( съботно-неделна форма на обучение от 17:30 до 20:30 часа, което са 4 учебни часа с 20 минути почивка ). Занятията, ще се провеждат всяка събота и неделя. Край на курса: 05-ти април 2020г.Цена и записване за курса:Цена: 680 лв.Сумата на курса, може да се заплати разсрочено на две вноски. Първата  вноска от 400 лева се внася при записването, а втората вноска от 280 лева до 30 дни от началото на обучението.;;;;;;"[""Езици за програмиране"",""machine-learning"",""progress""]"
Курс по Програмиране с Java;https://progressbg.net/wp-content/uploads/2019/01/Java-1.jpg;https://progressbg.net/programirane-s-java/;"Кратко представяне на езика за програмиране – Java:Java е обектно ориентиран език за програмиране . На Java се разработва изключително разнообразен софтуер: офис приложения, уеб приложения, настолни приложения, приложения за мобилни телефони, игри и много други. Java е един от най-популярните езици за програмиране. На него пишат милиони разработчици по цял свят. Най-големите световни софтуерни корпорации като IBM, Oracle, Google и SAP базират своите решения на Java платформата и използват Java като основен език за разработка на своите продукти.Цел на курса:Задълбочено запознаване на курсистите с основите на програмирането  и възможностите, които дава програмирането с Java. Предаване на достатъчно познания за придобиване на нужната стабилна база за всеки един бъдещ програмист. По време на курса, курсистите ще изпълняват множество задачи както групово, така и самостоятелно. Новите способности ще спомогнат изключително за по-лесната реализация на курсистите в IT сектора. След завършване, курсистът ще е придобил повечето знания нужни за позиции като Java програмист.За кого е предназначен курса по програмиране – Java:Курсът е предназначен както за абсолютно начинаещи в програмирането, така и за тези, които имат начални познания и желаят да ги доразвият към едно професионално ниво.Ползване на личен или служебен лаптоп:Тези, които нямат възможност да ползват собствен лаптоп, трябва да заявят за това по email или телефон, за да им бъде осигурен служебен лаптоп от центъра.Мащаб на групата:Обучението се провежда в малка ( бутикова ) група, ограничена до 8-м участника, с цел много повече индивидуално внимание на лектора към курсистите по време на практическите упражнения.Издаване на Сертификат ( безплатно ):Степента на  справяне с практичните задачи по време на обучението, домашните работи, както и финалния тест са основание за издаване на сертификат. Разбирането на поставените задачи и справянето на курсистите с тях е от изключително значение за по-добрата им реализация след обучението.Кариерно консултиране ( безплатно ):При желание нашата агенция за подбор на кадри ще ви помогне да опознаете ИТ индустрията (компаниите и профила на търсените от тях кадри, какви възможности предлагат за професионално развитие на свойте служители, възнаграждения , работна атмосфера, технологии с които работят и още).Ще ви разкажем и посъветваме върху какво да наблягате по време на интервю за работа.Услугата е напълно безплатна за всички завършили курсисти на центъра. Необходимо е да запишете час за консултация на 0882 255 066 &#8211; Александра Йолкова/ IT recruiter at MyITjob ltd.&nbsp;";Цена: 680 лв.;"График на курс по Програмиране с Java&nbsp;Продължителност на обучението – 120 учебни часа ( 3,5 месеца – стандартно ).&nbsp;Следващите начални дати са:27-ми януари 2020г. (вечерна форма на обучение от 19:00 до 22:00 часа, което са 4 учебни часа с 20 минути почивка). Часовете ще се провеждат всеки понеделник и сряда. Край на курса: 13-ти май 2020г. (На 20-ти април и 06-ти май май няма да има занятия!)08-ми февруари 2020г. (съботно-неделна  форма на обучение от 10:30 до 13:30 часа, което са 4 учебни часа с 20 минути почивка). Часовете ще се провеждат всяка събота и неделя. Край на курса: 30-ти май 2020г. (На Великден и 24.05 няма да има занятия!)&nbsp;Цена и заплащане на курса:Цена: 680 лв. Сумата на курса може да се заплати разсрочено на три вноски. Първа внсока от 300 лева се внася при записването, втората вноска също от 300 лева до 30 дена от началото на курса, а третата вноска от 80 лева се внася до месец преди края на обучението.";;;;;;"[""Езици за програмиране"",""programirane-s-java"",""progress""]"
"Курс по Програмиране с Java &#8211; Advanced";https://progressbg.net/wp-content/uploads/2019/01/Java-1.jpg;https://progressbg.net/kursove-po-programirane-s-java-chast-ii/;"Цел на курса по Java Програмиране &#8211; Advanced:Задълбочено запознаване на курсистите с нужните технологии за разработка на професионални Java приложения. Курсът ще Ви помогне да усъвършенствате познанията си и да ги приложите на практика. По време на обучението, курсистите ще изпълняват множество задачи и ще се справят с възникването на реални проблеми, които се появяват в процеса на разработка на софтуерните приложения. Новите способности, ще спомогнат за по-лесната реализация на курсистите в IT сектора. След завършване, курсиста, ще е придобил знанията необходими за заемане на длъжностни позиции като стажант или Junior Java програмист.Компютърно образователен център „Progress“, ще поемаме ангажимент към най-ярко отличилите се курсисти и ще ги подкрепи при търсене на евентуален стаж или работа като разработчик на Java приложения.Необходими познания:Курсът е предназначен за хора, които вече са завършили начален курс по Java и/или имат базисни познания по програмиране с Java. Необходимо е добро владеене на английски език. Всеки курсист, който не е преминал началният курс по „Програмиране с Java – Beginners в компютърно образователен център „Progress“, трябва да положи входящ изпит.Мащаб на групата:Обучението се провежда в малка ( бутикова ) група, ограничена до 8-м участника, с цел много повече индивидуално внимание на лектора към курсистите по време на практическите упражнения.Ползване на личен или служебен лаптоп:Тези, които нямат възможност да ползват собствен лаптоп, трябва да заявят за това по email или телефон, за да им бъде осигурен служебен лаптоп/настолен компютър от центъра.Издаване на Сертификат ( безплатно ):Степента на  справяне с практичните задачи по време на обучението, домашните работи, както и финалния тест са основание за издаване на Сертификат. Разбирането на поставените задачи и справянето на курсистите с тях е от изключително значение за по-добрата им реализация след обучението.Кариерно консултиране   ( безплатно ):При желание нашата агенция за подбор на кадри ще ви помогне да опознаете ИТ индустрията (компаниите и профила на търсените от тях кадри, какви възможности предлагат за професионално развитие на своите служители, възнаграждения , работна атмосфера, технологии с които работят и още). Ще ви разкажем и посъветваме върху какво да наблягате по време на интервю за работа.Услугата е напълно безплатна за всички завършили курсисти на центъра.Необходимо е да запишете час за консултация на 0882 255 066 – Александра Йолкова/ IT recruiter at MyITjob ltd.";Цена: 780 лв.;"График на курс по Програмиране с Java &#8211; Advanced&nbsp;Продължителност на обучението – 100 учебни часа ( 3 месеца ).Следващите начални дати са:08-ми февруари 2020г. (съботно-неделна форма на обучение от 14:00 до 17:00 часа,  което са 4 учебни часа с 20 минути почивка). Занятията ще се провеждат всяка събота и неделя. Край на курса: 09-ти май 2020г. (На Великден няма да има занятия!)&nbsp;Цена и заплащане на курса:Цена: 780 лв.Сумата на курса, може да се заплати разсрочено на три равни вноски по 260 лева. Първата вноска при записване, другите две вноски на всеки следващ месец от обучението.Всички курсисти, завършили курса по „Програмиране с Java – Beginners“, при записване на  ”Програмиране с Java – Advanced” ползват 15 % отстъпка.";;;;;;"[""Езици за програмиране"",""kursove-po-programirane-s-java-chast-ii"",""progress""]"
"Курс по Програмиране с Java – Beginners &#038; Advanced";https://progressbg.net/wp-content/uploads/2019/01/Java-1.jpg;https://progressbg.net/java-beginners-advanced/;"Кратко представяне на езика за програмиране – Java:Java е обектно ориентиран език за програмиране . На Java се разработва изключително разнообразен софтуер: офис приложения, уеб приложения, настолни приложения, приложения за мобилни телефони, игри и много други. Java е един от най-популярните езици за програмиране. На него пишат милиони разработчици по цял свят. Най-големите световни софтуерни корпорации като IBM, Oracle, Google и SAP базират своите решения на Java платформата и използват Java като основен език за разработка на своите продукти.Програмиране с Java &#8211; Begginers &amp; AdvancedЦел на курса:Задълбочено запознаване на курсистите с основите на програмирането  и възможностите, които дава програмирането с Java, както и нужните технологии за разработка на професионални Java приложения. Предаване на достатъчно познания за придобиване на нужната стабилна база за всеки един бъдещ програмист. По време на курса, курсистите ще изпълняват множество задачи както групово, така и самостоятелно. Новите способности ще спомогнат изключително за по-лесната реализация на курсистите в IT сектора. След завършване, курсиста ще е придобил повечето знания нужни за позиции като Junior Java програмист или стажант.За кого е предназначен курсът:Курсът е предназначен както за абсолютно начинаещи в програмирането, така и за тези, които имат начални познания и желаят да ги доразвият към едно професионално ниво.Какво е необходимо за участие в курса по програмиране с Java &#8211; Begginers &amp; Advanced:Необходимо е курсистите, желаещи да вземат участие в курса, да се запишат до 3 дни преди началната дата на обучението като направят това на място в административния офис на компютърно образователния център „Progress”( пл. Славейков №11), заплащайки минимум първа вноска за обучението. Възможно е и заплащане по банков път.Ползване на личен или служебен лаптоп:Тези, които нямат възможност да ползват собствен лаптоп, трябва да заявят за това по email или телефон, за да им бъде осигурен служебен лаптоп/настолен компютър от центъра.Мащаб на групата:С цел по-ефективно обучение, групите  са ограничени от 4  до 8 курсиста.Издаване на Сертификат:Степента на  справяне с практичните задачи по време на обучението, домашните работи, както и финалния тест са основание за издаване на Сертификат. Разбирането на поставените задачи и справянето на курсистите с тях е от изключително значение за по-добрата им реализация след обучението.";Цена: 1260 лв.;"График на курс по Програмиране с Java – Beginners &amp; Advanced&nbsp;Продължителност на обучението – 220 учебни часа ( 6,5 месеца ).&nbsp;Следващите начални дати са:27-ми януари 2020г. (вечерна форма на обучение от 19:00 до 22:00 часа, което са 4 учебни часа с 20 минути почивка). Часовете ще се провеждат всеки понеделник и сряда. Край на първа част на курса: 13-ти май 2020г.08-ми февруари 2020г. (съботно-неделна  форма на обучение от 10:30 до 13:30 часа, което са 4 учебни часа с 20 минути почивка). Часовете ще се провеждат всяка събота и неделя. Край на първа част на курса: 24-ти май 2020г.&nbsp;Цена и записване за курса:Цена: 1260 лв.Има възможност за разсрочено заплащане на курса на три вноски. Първата се внася при записването(460 лв.), а втората и третата след първия и втория месец от обучението(по 400 лв.).";;;;;;"[""Езици за програмиране"",""java-beginners-advanced"",""progress""]"
Курс по Програмиране със C# и .Net;https://progressbg.net/wp-content/uploads/2018/05/C_net-300x169.jpg;https://progressbg.net/kurs-po-programirane-na-c-sharp-i-dot-net/;Какво е C#?C# е обектно-ориентиран език за програмиране, разработен от Microsoft, като част от софтуерната платформа .NET. Стремежът още при създаването на C# езика е бил да се създаде един прост, модерен, обектно-ориентиран език с общо предназначение.C# е един от най-добрите и търсени езици за програмиране в световен мащаб. Според статистика на  stackoverflow за 2017-та година, C# е в челната десетка на най-популярните и обичани езици за програмиране в световен мащаб. Той е третият най-търсен език за програмиране в сферата на уеб и десктоп програмирането, и в челната десетка на най-любими и търсени езици за програмиране дори за мобилни технологии, благодарение на Замарин. Също така,  програмистите с този език са на трето място по най-високо заплащане в Европа и Англия.Цел на курса по програмиране със C# и .NET:Курсът има за цел да запознае курсистите с основите на програмирането. Изучават съвсем начални понятия от алгоритмичното програмиране, езика C#, средата за разработка Visual Studio, типове данни в програмирането, променливи и работа с тях, програмни оператори, аритметични изрази, средства за четене и писане на конзолата, условни конструкции за управление (if, if-else и switch-case) и различни видове цикли (while, do-while, for, foreach).Чрез много практика и решаване на задачи се развива алгоритмичното мислене и умения за решаване на задачи, като се трупа практика при писането на програмен код. Също така се изграждат базови умения за тестване и дебъгване.За кого е предназначен курсa:Курсът е предназначен както за абсолютно начинаещи в програмирането, така и за тези, които имат начални познания и желаят да ги доразвият към едно професионално ниво.Мащаб на групата със Програмиране със C# и .NET:Обучението се провежда в малка ( бутикова ) група, ограничена до 8-м участника, с цел много повече индивидуално внимание на лектора към курсистите по време на практическите упражнения.Ползване на личен или служебен лаптоп:Тези, които нямат възможност да ползват собствен лаптоп, трябва да заявят за това по email или телефон, за да им бъде осигурен служебен лаптоп от центъра.Издаване на Сертификат ( безплатно ):Степента на  справяне с практичните задачи по време на обучението, домашните работи, както и финалния тест са основание за издаване на Сертификат. Разбирането на поставените задачи и справянето на курсистите с тях е от изключително значение за по-добрата им реализация след обучението.Кариерно консултиране  ( безплатно ):При желание нашата агенция за подбор на кадри ще ви помогне да опознаете ИТ индустрията (компаниите и профила на търсените от тях кадри, какви възможности предлагат за професионално развитие на своите служители, възнаграждения , работна атмосфера, технологии с които работят и още). Ще ви разкажем и посъветваме върху какво да наблягате по време на интервю за работа.Услугата е напълно безплатна за всички завършили курсисти на центъра.Необходимо е да запишете час за консултация на 0882 255 066 – Александра Йолкова/ IT recruiter at MyITjob ltd.;Цена: 650 лв.;"График на Курс по C# и .NetПродължителност на обучението  – 100 учебни часа ( 3 месеца ).Следващата начална дата е:25-ти януари 2020г. (съботно-неделна форма на обучение от 17:30 до 20:30 часа, което са 4 учебни часа с 20 минути почивка ). Курсът ще се провежда всяка събота и неделя. Край на курса: 25-ти април 2020г. (На Великден няма да има знятия!)03-ти февруари 2020г. (вечерна форма на обучение от 19:00 до 22:00 часа, което са 4 учебни часа с 20 минути почивка ). Курсът ще се провежда всеки понеделник и сряда. Край на курса: 29-ти април 2020г. (На 20.04 няма да има занятия! )&nbsp;Цена и заплащане на курса:Цена: 650 лв.Сумата на курса, може да се заплати разсрочено на две вноски. Първата се внася при записването (400 лева), а втората (250 лева) до 30 дена от старта на обучението.";;;;;;"[""Езици за програмиране"",""kurs-po-programirane-na-c-sharp-i-dot-net"",""progress""]"
Курс по Програмиране със C# Advanced;https://progressbg.net/wp-content/uploads/2015/06/csharp-150x150.png;https://progressbg.net/c-advanced/;Какво е C#?C# е обектно-ориентиран език за програмиране, разработен от Microsoft, като част от софтуерната платформа .NET. Стремежът още при създаването на C# езика е бил да се създаде един прост, модерен, обектно-ориентиран език с общо предназначение. Основа за C# са C++, Java и донякъде езици като Delphi, VB.NET и C. Той е проектиран да балансира мощност (C++) с възможност за бързо разработване (Visual Basic и Java). Те представляват съвкупност от дефиниции на класове, които съдържат в себе си методи, а в методите е разположена програмната логика – инструкциите, които компютърът изпълнява.Цел на курса по програмиране със C# Advanced:Обръща се внимание на възможности на езика C# като структури, изброени типове, индексатори, предефиниране на оператори, шаблонни типове (generics), пространства от имена (namespaces), атрибути, разширяващи методи, анонимни типове, делегати, събития, ламбда изрази и LINQ. Разглежда се общата система от типове (CTS) в .NET Framework, стойностните и референтните типове и представянето им в паметта и дефинираните в CTS системни типове и стандартни интерфейси.За кого е предназначен курсът:Курсът е предназначен за преминалите вече курса C# Basic както и за тези, които имат начални познания и желаят да ги доразвият към едно професионално ниво.Ползване на личен или служебен лаптоп:Тези, които нямат възможност да ползват собствен лаптоп, трябва да заявят за това по email или телефон, за да им бъде осигурен служебен лаптоп/настолен компютър от центъра.Мащаб на групата:Обучението се провежда в малка ( бутикова ) група, ограничена до 8-м участника, с цел много повече индивидуално внимание на лектора към курсистите по време на практическите упражнения.Издаване на Сертификат ( безплатно ):Степента на  справяне с практичните задачи по време на обучението, домашните работи, както и финалния тест са основание за издаване на Сертификат.Разбирането на поставените задачи и справянето на курсистите с тях е от изключително значение за по-добрата им реализация след обучението.Кариерно консултиране ( безплатно ):При желание нашата агенция за подбор на кадри ще ви помогне да опознаете ИТ индустрията (компаниите и профила на търсените от тях кадри, какви възможности предлагат за професионално развитие на своите служители, възнаграждения , работна атмосфера, технологии с които работят и още). Ще ви разкажем и посъветваме върху какво да наблягате по време на интервю за работа.Услугата е напълно безплатна за всички завършили курсисти на центъра.Необходимо е да запишете час за консултация на 0882 255 066 – Александра Йолкова/ IT recruiter at MyITjob ltd.;Цена: 880 лв.;График на Курс по Програмиране със C# AdvancedПродължителност на обучението – 140 учебни часа ( 4 месеца ).Следващата начална дата е:31- ви март 2020г. (вечерна  форма на обучение от 19:00 до 22:00 часа, което са 4 учебни часа с 20 минути почивка). Часовете ще се провеждат всеки вторник и четвъртък. Край на курса: 28-ми юли 2020г. (На 20-ти април и 06-ти май май няма да има занятия!)Цена и заплащане на курса:Цена: 880 лв.Курсът може да бъде заплатен на две вноски. Първата е 500 лева и се внася при записването, а втората (380 лева) в  началото на втория месец от обучението.;;;;;;"[""Езици за програмиране"",""c-advanced"",""progress""]"
